intent,text
greet,Hello
greet,Hi
greet,Hey there
greet,Good morning
greet,Good evening
greet,Hi how are you
greet,Hello there
thanks,Thank you
thanks,Thanks a lot
thanks,Much appreciated
thanks,Thanks for your help
thanks,Thanks so much
thanks,Thank you for the quick reply
goodbye,Bye
goodbye,See you later
goodbye,Goodbye
goodbye,Talk soon
goodbye,Have a nice day
password_reset,How do I reset my password?
password_reset,I forgot my password
password_reset,Can't log in need password help
password_reset,Reset my account password
password_reset,Password reset link not working
order_status,Where is my order?
order_status,Track my order
order_status,Has my package shipped?
order_status,Order status update
order_status,When will my order arrive
shipping,When will my order arrive?
shipping,Shipping time for my order
shipping,How long does shipping take
shipping,Do you ship internationally
shipping,Shipping cost to my area
returns,How do I return an item?
returns,What is the return policy?
returns,Can I exchange this item?
returns,How to start a return
returns,Return pickup available
refund_status,When will I get my refund?
refund_status,Refund not received
refund_status,Check refund status
refund_status,Refund processing time
subscription,How do I cancel my subscription?
subscription,How to upgrade my plan?
subscription,Pause my subscription
subscription,Resume my subscription
subscription,Change subscription plan
billing,Billing issue with my account
billing,Why was I charged twice?
billing,Incorrect bill amount
billing,Need invoice for my order
billing,Payment receipt not received
product_availability,Is this product in stock?
product_availability,Do you have this in size M?
product_availability,When will this be back in stock
product_availability,Out of stock notification
product_availability,Preorder available
size_help,What size should I buy?
size_help,Size chart for this item
size_help,Is this true to size
size_help,What size is model wearing
size_help,Sizing recommendation
color_availability,Do you have this in blue?
color_availability,Available colors for this product
color_availability,Show me other colors
color_availability,Is there a red version
contact_support,How can I contact support?
contact_support,Customer support phone number
contact_support,Live chat support available
contact_support,Email support address
technical_issue,The app crashes when I open it
technical_issue,App not loading
technical_issue,Unable to login due to error
technical_issue,Error code shown on screen
technical_issue,Website not working on mobile
complaint,I want to file a complaint
complaint,Not satisfied with the product
complaint,Poor customer service
complaint,Delivery was delayed
complaint,Item arrived damaged
feedback_positive,Great service!
feedback_positive,Very happy with my purchase
feedback_positive,Excellent support
feedback_positive,Love the product
feedback_positive,Would recommend
feedback_negative,Not happy with the product
feedback_negative,Disappointed with quality
feedback_negative,Product not as described
feedback_negative,Poor packaging
promo_codes,Do you have any discount codes?
promo_codes,Apply coupon code
promo_codes,Where to enter promo code
promo_codes,Promo not working
promo_codes,Any seasonal discounts
store_hours,What are your store hours?
store_hours,When does the store open
store_hours,Are you open on weekends
store_hours,Holiday hours for the store
location,Where is your nearest store?
location,Store address near me
location,Which stores are nearby
location,Find store locations
privacy_policy,How do you use my data?
privacy_policy,Privacy policy details
privacy_policy,How to request data deletion
privacy_policy,Who has access to my data
terms,Where can I read the terms and conditions?
terms,Terms and privacy link
terms,Service terms explanation
recommend_product,Can you recommend something for me?
recommend_product,Find product recommendations
recommend_product,Suggest gifts for birthday
recommend_product,What to buy for a friend
exchange,How to exchange a product?
exchange,Exchange policy details
exchange,Exchange request process
exchange,Exchange shipping cost
warranty,What is the warranty period?
warranty,How to claim warranty
warranty,Extended warranty options
warranty,Warranty terms and conditions
invoice,Can I get an invoice?
invoice,Download invoice for my order
invoice,Invoice email not received
invoice,Invoice correction needed
payment_failed,Payment failed during checkout
payment_failed,Retry payment options
payment_failed,Card declined what to do
payment_failed,Payment gateway error
coupon_issue,Coupon failed to apply
coupon_issue,Coupon expired
coupon_issue,Coupon not valid for this product
coupon_issue,How to get coupon codes
order_cancel,Can I cancel my order?
order_cancel,Cancel my order before shipping
order_cancel,Order cancellation policy
order_cancel,Refund for cancelled order
delay_compensation,Order delayed compensation
delay_compensation,Delay in delivery what to do
delay_compensation,Compensation for late delivery
change_address,Change delivery address after order
change_address,Update shipping address
